Which odd won,Lowest 2 values
2.45,"2.45, 3.1"
1.25,"1.25, 5.75"
1.9,"1.9, 3.5"
1.66,"1.66, 3.8"
3.1,"2.37, 3.1"
1.3,"1.3, 5.75"
2.2,"2.2, 3.2"
5.5,"1.6, 4.2"
1.18,"1.18, 7.5"
1.8,"1.8, 3.75"
3.2,"2.55, 2.87"
3.4,"2.37, 3"
1.08,"1.08, 11"
1.7,"1.7, 3.5"
4.2,"1.57, 4.2"
2.35,"2.35, 3.2"
1.72,"1.72, 3.75"
2.5,"2.5, 2.75"
1.25,"1.25, 6"
3.6,"1.95, 3.6"
3.3,"2.3, 3.2"
3.4,"2.5, 2.8"
1.85,"1.85, 3.5"
4,"1.55, 4"
3.3,"2.45, 2.9"
3.5,"2.25, 3.1"
1.36,"1.36, 4.75"
1.75,"1.75, 3.5"
4.2,"1.9, 3.5"
1.5,"1.5, 4.6"
2.62,"2.62, 2.8"
1.57,"1.57, 4"
1.18,"1.18, 7.5"
3.5,"2.4, 2.9"
2.25,"2.25, 3.2"
1.28,"1.28, 5.5"
1.75,"1.75, 4"
1.7,"1.7, 3.75"
3.6,"2.3, 3"
5,"1.83, 3.25"
1.95,"1.95, 3.6"
1.2,"1.2, 7"
9.5,"1.12, 9.5"
3.5,"2.15, 3.3"
2.4,"2.4, 3"
2.7,"2.7, 2.75"
1.75,"1.75, 4"
1.7,"1.7, 3.8"
2.75,"2.62, 2.75"
8,"1.36, 5.25"
1.61,"1.61, 3.8"
2.25,"2.25, 3"
4,"1.57, 4"
3.4,"2.2, 3.3"
4.5,"1.45, 4.5"
2.8,"2.62, 2.8"
2.15,"2.15, 3.3"
3.2,"2.45, 3.1"
4.33,"1.45, 4.33"
3.6,"1.85, 3.6"
1.36,"1.36, 4.75"
1.7,"1.7, 4"
1.61,"1.61, 4.2"
3.25,"2.4, 3"
3.4,"2.3, 3.1"
2.1,"2.1, 3.4"
4.75,"1.75, 3.75"
3.5,"2.4, 2.87"
1.33,"1.33, 5.5"
3.5,"2.15, 3.25"
3.5,"2.05, 3.5"
1.12,"1.12, 9"
3.4,"2.1, 3.4"
2.3,"2.3, 3"
1.57,"1.57, 3.8"
2.8,"2.5, 2.8"
2.05,"2.05, 3.5"
3.8,"1.6, 3.8"
1.83,"1.83, 3.75"
1.18,"1.18, 7"
3.6,"1.9, 3.6"
5.5,"1.65, 3.8"
3.4,"2.4, 2.87"
3.5,"1.95, 3.5"
1.4,"1.4, 4.75"
2.7,"2.62, 2.7"
2.3,"2.3, 3"
2.2,"2.2, 3.1"
